1:50 - loss: 0.5925427097082138, acc: 0.75375
1:100 - loss: 0.5057752713561058, acc: 0.78890625
1:150 - loss: 0.4746700386206309, acc: 0.7972916666666666
1:200 - loss: 0.4543403995782137, acc: 0.806796875
1:250 - loss: 0.4390520524978638, acc: 0.8125
1:300 - loss: 0.43220089028278985, acc: 0.8154166666666667
1:350 - loss: 0.4283056141648974, acc: 0.8175446428571429
1:400 - loss: 0.42206544056534767, acc: 0.82
1:450 - loss: 0.4193448283937242, acc: 0.8210763888888889
1:500 - loss: 0.413442114174366, acc: 0.8235625
1:550 - loss: 0.41004385948181155, acc: 0.8245170454545454
1:600 - loss: 0.4070537866652012, acc: 0.825546875
1:650 - loss: 0.40223032304873835, acc: 0.8277644230769231
1:700 - loss: 0.3966388497182301, acc: 0.8299107142857143
1:750 - loss: 0.39416678496201835, acc: 0.8310208333333333
1:800 - loss: 0.39125786509364846, acc: 0.8323046875
1:850 - loss: 0.3881162198501475, acc: 0.8335294117647059
1:900 - loss: 0.38465183802776864, acc: 0.8356597222222222
1:950 - loss: 0.38087562681812986, acc: 0.8373519736842105
1:1000 - loss: 0.37819153964519503, acc: 0.838171875
1:1050 - loss: 0.3756622621984709, acc: 0.8395684523809523
1:1100 - loss: 0.37265482567928054, acc: 0.8409801136363636
1:1150 - loss: 0.36993819230276603, acc: 0.8424048913043478
1:1200 - loss: 0.367762368110319, acc: 0.8433203125
1:1250 - loss: 0.3655060477614403, acc: 0.844425
1:1300 - loss: 0.36419376437480633, acc: 0.8451322115384615
1:1350 - loss: 0.36149662637048297, acc: 0.8464351851851852
1:1400 - loss: 0.3598555645559515, acc: 0.8469642857142857
1:1450 - loss: 0.3577693809106432, acc: 0.8480280172413793
1:1500 - loss: 0.3551085267663002, acc: 0.8493645833333333
1:1550 - loss: 0.3533521136929912, acc: 0.8502620967741935
1:1600 - loss: 0.3508020532783121, acc: 0.85130859375
1:1650 - loss: 0.34903761167417874, acc: 0.8520265151515152
1:1700 - loss: 0.3466651622337453, acc: 0.8532720588235294
1:1750 - loss: 0.34477033981255123, acc: 0.854125
1:1800 - loss: 0.34292100568198497, acc: 0.8548350694444444
1:1850 - loss: 0.34140206028883524, acc: 0.8555489864864865
1:1900 - loss: 0.3392945017744052, acc: 0.8563733552631579
1:1950 - loss: 0.33730001090046685, acc: 0.857363782051282
1:2000 - loss: 0.33505763671174643, acc: 0.8585390625
1:2050 - loss: 0.3332766315522717, acc: 0.8592835365853658
1:2100 - loss: 0.3309833145318996, acc: 0.8604613095238095
1:2150 - loss: 0.3289670101535875, acc: 0.8614316860465117
1:2200 - loss: 0.3278027609701861, acc: 0.861875
